type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
SF,NR,Delhi,New Delhi,Kanpur Central,"26.4543489,80.3512482","26.4543489,80.3512482",80.3512482,26.4543489,0.986111111,0.246527778,6.25,0,440,70.4,SMTWTFS,Shram Shakti Express
Shtb,NR,Delhi,New Delhi,Ajmer Junction,"26.7987444,75.0244674","26.7987444,75.0244674",75.0244674,26.7987444,0.253472222,0.527777778,6.583333333,5,443,67.3,SMTWTFS,New Delhi-Ajmer Shatabdi
Shtb,NR,Delhi,New Delhi,Amritsar Junction,"31.6313691,74.8602163","31.6313691,74.8602163",74.8602163,31.6313691,0.305555556,0.559027778,6.083333333,5,448,73.6,SMTW-FS,New Delhi-Amritsar Swarna Shatabdi Express
Shtb,NR,Delhi,New Delhi,Amritsar Junction,"31.6313691,74.8602163","31.6313691,74.8602163",74.8602163,31.6313691,0.6875,0.940972222,6.083333333,5,448,73.6,SMTWTFS,New Delhi-Amritsar Shatabdi Express
Shtb,NR,Delhi,New Delhi,Amritsar Junction,"31.6313691,74.8602163","31.6313691,74.8602163",74.8602163,31.6313691,0.305555556,0.559027778,6.083333333,5,448,73.6,----T--,Amritsar Shatabdi Express
SF,NR,Delhi,New Delhi,Amritsar Junction,"31.6313691,74.8602163","31.6313691,74.8602163",74.8602163,31.6313691,0.277777778,0.59375,7.583333333,9,448,59.1,SMTWTFS,Shan-e-Punjab Express
SF,NR,Delhi,New Delhi,Amritsar Junction,"31.6313691,74.8602163","31.6313691,74.8602163",74.8602163,31.6313691,0.565972222,0.899305556,8,13,448,56,SMTWTFS,NewDelhi-Amritsar SF InterCity
Exp,ER,Kolkata,Kolkata Sealdah,Balurghat,"25.2241800,88.7739330","25.2241800,88.7739330",88.773933,25.22418,0.927083333,0.402777778,11.41666667,25,454,39.8,S-TWTFS,Gour Express Slip
SF,CR,Mumbai,Mumbai CST,Solapur Junction,"17.6599188,75.9063906","17.6599188,75.9063906",75.9063906,17.6599188,0.945833333,0.289583333,8.25,12,455,55.2,SMTWTFS,Siddheshwar Express
JShtb,WCR,Delhi,Delhi Hazrat Nizamuddin,"Kota Junction, Rajasthan","25.2237992,75.8806269","25.2237992,75.8806269",75.8806269,25.2237992,0.555555556,0.819444444,6.333333333,8,458,72.3,SMTWTFS,Hazarat Nizamuddin-Kota Jan Shatabdi
SF,NWR,Delhi,Delhi Sarai Rohilla,Bikaner Junction,"28.0145575,73.3159695","28.0145575,73.3159695",73.3159695,28.0145575,0.295138889,0.635416667,8.166666667,11,458,56.1,SMTWTFS,Delhi Sarai Rohilla - Bikaner SF Intercity Express
SF,NWR,Delhi,Delhi Sarai Rohilla,Bikaner Junction,"28.0145575,73.3159695","28.0145575,73.3159695",73.3159695,28.0145575,0.982638889,0.322916667,8.166666667,9,458,56.1,#NAME?,Delhi SaraiRohilla-Bikaner Express
Exp,SER,Kolkata,Kolkata Howrah Junction,Ranchi Junction,"22.9655604,85.9987331","22.9655604,85.9987331",85.9987331,22.9655604,0.628472222,0.958333333,7.916666667,10,462,58.4,#NAME?,Howrah-Ranchi Intercity
Exp,ER,Kolkata,Kolkata Howrah Junction,Jamalpur Junction,"24.8367708,89.8759747","24.8367708,89.8759747",89.8759747,24.8367708,0.899305556,0.298611111,9.583333333,19,467,48.7,SMTWTFS,Jamalpur Express
